workflow_id,product_area,workflow,persona,problem,hypothesis,owner_team,roadmap_horizon,strategic_fit,effort,risk_sensitivity
BA001,Lawyer matching,Best-fit law firm recommendation,Client advocate,"Clients with viable cases need a fast match that considers jurisdiction, case type, firm capacity, and client preference.",A transparent matching rubric will raise accepted matches while reducing rework for advocates and firms.,Product and Data Science,Now,96,64,92
BA002,Intake,Eligibility quiz repair loop,Benefits applicant,Ambiguous quiz answers create downstream case review delays and lower confidence in eligibility recommendations.,A guided repair loop can improve qualification precision without making intake feel bureaucratic.,Product and Design,Now,93,48,88
BA003,Client operations,Advocate triage command queue,Client advocate lead,High-need clients can be buried behind lower-risk follow-ups when urgency and readiness are not visible together.,"A triage queue that combines urgency, readiness, and outreach history will improve first-contact speed.",Client Experience,Next,89,54,86
BA004,Marketplace health,No-match recovery path,Marketplace operator,Some qualified clients cannot be matched immediately because the right firm capacity or jurisdiction fit is unavailable.,A recovery path with alternate routing and capacity alerts will prevent viable clients from dropping out.,Product Operations,Now,91,59,90
BA005,Lawyer network,Firm capacity and preference signal,Partner law firm,"Firm availability, state coverage, case appetite, and response speed can drift faster than manual routing rules.",Lightweight firm-side capacity signals will improve match acceptance and reduce dead-end referrals.,Lawyer Network,Next,88,67,83
BA006,Evidence readiness,Document readiness coach,Benefits applicant,Clients often do not know which documents or medical evidence are needed before a lawyer evaluates the case.,A plain-language checklist will raise case readiness and reduce repeated advocate follow-up.,Product and Legal Ops,Next,86,46,87
BA007,Case collaboration,Post-match client handoff,Newly matched client,"Clients can lose trust after referral if expectations, next steps, and firm response times are unclear.",A structured handoff timeline will improve client confidence and firm follow-through.,Product and Design,Next,84,42,80
BA008,Case collaboration,Milestone status tracker,Matched client,"Clients need reassurance during long benefits timelines, especially when agencies or insurers move slowly.",Milestone visibility will reduce avoidable support contacts and improve trust through long waits.,Product and Engineering,Later,78,71,72
BA009,New verticals,VA benefits evidence checklist,Veteran applicant,Veterans need claim-specific evidence guidance that differs from disability and workers compensation journeys.,A vertical-specific readiness checklist can validate expansion demand before deeper workflow investment.,New Verticals,Later,81,58,81
BA010,Workers compensation,State-specific routing guardrails,Injured worker,"State rules, deadlines, and firm coverage create routing complexity for injured workers seeking help.",State-specific guardrails can reduce mismatches while preserving a simple intake journey.,Product and Legal Ops,Later,82,62,84
